course,credits
Introduction to Artificial Intelligence,4
Principles of Programming Languages,4
C/C++ Programming in Unix,4
Digital Logic Design and Lab,4
Theoretical Models in Computing,4
Object Oriented Programming,4
Special Study of the Field,2
Principle of Database Management,4
Object Oriented Analysis and Design,4
Computer Architecture,4
Data Structure and Algorithms,4
Senior Research Thesis,10
Computer Graphics,4
Human-Computer Interaction,4
Software Project Management,4
Information System Management,4
Net-Centric Programming,4
Software Architecture,4
Digital Image Processing,4
